Geo_QName,Geo_NAME,Geo_FIPS,Geo_CT,00P,00WNH,00BNH,00ANH,00L,00WNH_P,00BNH_P,00ANH_P,00L_P,00O25,00COL,00COL_P,00O16,00U,00U_P,00INC,00OHU,00OO,00RO,00OO_P,00RO_P,00VAL,00RENT
"Census Tract 1011.10, Los Angeles County, California",Census Tract 1011.10,6037101110,101110,4500,2638,75,329,1267,58.62,1.67,7.31,28.16,2947,752,25.5174754,2217,165,7.44,42167.39768,1626,818,808,50.31,49.69,151766.5884,700.8596491
"Census Tract 1011.22, Los Angeles County, California",Census Tract 1011.22,6037101122,101122,3176,2351.983,55.19268,187.8488,467.6854,74.05,1.74,5.91,14.73,2199.960976,1039.946341,47.27112676,1566.697561,50.35121951,3.21,55083.17354,1159.046341,992.5,166.5463415,85.63,14.37,236843.4951,949.5
"Census Tract 1012.10, Los Angeles County, California",Census Tract 1012.10,6037101210,101210,6066,2496,317,337,2616,41.15,5.23,5.56,43.13,3501,801,22.87917738,2851,383,13.43,31780.84387,2111,287,1824,13.6,86.4,135067.7699,613.2540984
"Census Tract 1012.20, Los Angeles County, California",Census Tract 1012.20,6037101220,101220,3028,1568,54,162,1095,51.78,1.78,5.35,36.16,1924,304,15.8004158,1424,161,11.31,28184.49042,1204,419,785,34.8,65.2,141810.6343,636.9178082
"Census Tract 1013, Los Angeles County, California",Census Tract 1013,6037101300,101300,3973.997,3125.998,17.99999,258.9998,385.9997,78.66,0.45,6.52,9.71,2925.997717,1494.998833,51.0936432,2035.998411,96.9999243,4.76,61072.37096,1487.998839,1270.999008,216.9998307,85.42,14.58,225005.9651,923.1
"Census Tract 1014, Los Angeles County, California",Census Tract 1014,6037101400,101400,3760,2653,40,238,641,70.56,1.06,6.33,17.05,2594,1207,46.5304549,1975,150,7.59,49096.22403,1396,1021,375,73.14,26.86,217524.4851,794.9166667
"Census Tract 1021.03, Los Angeles County, California",Census Tract 1021.03,6037102103,102103,1696.944,878.6866,33.0257,160.4927,560.5596,51.78,1.95,9.46,33.03,1143.217149,528.3042298,46.21206306,856.2575827,80.0741386,9.35,61647.96784,587.1383512,457.0936625,130.0446888,77.85,22.15,199153.4561,984.0029623
"Census Tract 1021.04, Los Angeles County, California",Census Tract 1021.04,6037102104,102104,2960.063,1594.454,57.98015,295.6109,894.7392,53.87,1.96,9.99,30.23,2020.081279,989.1765689,48.96716678,1520.222071,141.8756802,9.33,63380.09382,1045.399749,834.5628246,210.8369241,79.83,20.17,199548.2519,1074.7
"Census Tract 1021.05, Los Angeles County, California",Census Tract 1021.05,6037102105,102105,1851.512,996.7468,36.26298,184.8271,560.3508,53.83,1.96,9.98,30.26,1263.340408,618.3018149,48.94182211,950.7387505,88.73701262,9.33,63363.64588,653.7543529,521.7702821,131.9840708,79.81,20.19,199525.5781,1073.826683
"Census Tract 1021.07, Los Angeles County, California",Census Tract 1021.07,6037102107,102107,3566.221,2159.714,70.35065,190.9946,1036.464,60.56,1.97,5.36,29.06,2440.509303,770.6223758,31.57629331,1639.96366,128.1894768,7.82,51492.49126,1160.826585,817.0647603,343.7618243,70.39,29.61,254968.8828,691.2530169
"Census Tract 1031.01, Los Angeles County, California",Census Tract 1031.01,6037103101,103101,2608,1804.616,21.98314,215.8345,455.6506,69.2,0.84,8.28,17.47,1780.634483,564.5670498,31.70594837,1316.990038,59.95402299,4.55,59827.45158,920.2942529,793.3915709,126.902682,86.21,13.79,200926.9697,1161.85
"Census Tract 1031.02, Los Angeles County, California",Census Tract 1031.02,6037103102,103102,4462,2698,22,371,1178,60.47,0.49,8.31,26.4,2912,639,21.94368132,2181,117,5.36,48548.34005,1570,1106,464,70.45,29.55,159713.2769,739.3484848
"Census Tract 1032, Los Angeles County, California",Census Tract 1032,6037103200,103200,5876.178,3794.065,334.7578,375.1294,1118.664,64.57,5.7,6.38,19.04,4058.959151,1611.691038,39.70700315,2882.934108,210.2094156,7.29,55495.02419,2141.501528,1394.333694,747.1678341,65.11,34.89,212092.1669,655.2236425
"Census Tract 1033, Los Angeles County, California",Census Tract 1033,6037103300,103300,3246.911,2545.061,31.29929,98.57019,450.537,78.38,0.96,3.04,13.88,2391.108095,960.1392502,40.15457319,1769.129627,39.43223624,2.23,73514.6617,1218.218237,1038.105987,180.1122498,85.22,14.78,319072.7435,1256.477631
"Census Tract 1034, Los Angeles County, California",Census Tract 1034,6037103400,103400,6046,4049.817,92.50604,366.1292,1299.953,66.98,1.53,6.06,21.5,4187.115478,1264.898373,30.20930233,3111.124175,86.66355291,2.79,47304.67378,2359.390884,1510.282815,849.1080689,64.01,35.99,181858.5262,726.5416667
"Census Tract 1041.03, Los Angeles County, California",Census Tract 1041.03,6037104103,104103,3840,370,780,206,2398,9.64,20.31,5.36,62.45,2123,428,20.16015073,1675,215,12.84,58239.1006,781,681,100,87.2,12.8,157436.6923,1146.846154
"Census Tract 1041.05, Los Angeles County, California",Census Tract 1041.05,6037104105,104105,5232.68,356.9781,610.9626,290.9822,3912.76,6.82,11.68,5.56,74.78,2623.839345,370.9772854,14.13871951,2044.874794,203.98751,9.98,34093.6414,1343.917713,684.9580606,658.9596525,50.97,49.03,127365.1547,421.3723404
"Census Tract 1041.08, Los Angeles County, California",Census Tract 1041.08,6037104108,104108,4203.098,312.2626,861.0648,122.1616,2845.673,7.43,20.49,2.91,67.7,2219.39217,212.4840262,9.573973863,1600.896465,81.72837907,5.11,35202.82714,1038.304162,475.7144306,562.5897314,45.82,54.18,154577.4091,720.6077562
"Census Tract 1041.24, Los Angeles County, California",Census Tract 1041.24,6037104124,104124,4059.001,1258,760,225,1692,30.99,18.72,5.54,41.69,2438.000329,759.0001198,31.13207618,1916.000197,164.0000049,8.56,52483.01929,1120.000181,929.0001264,191.000055,82.95,17.05,159900.2609,833.4852284
"Census Tract 1042.01, Los Angeles County, California",Census Tract 1042.01,6037104201,104201,4787,122,692,7,3895,2.55,14.46,0.15,81.37,2261,72,3.184431667,1664,139,8.35,43257.20479,867,638,229,73.59,26.41,134301.819,914.1428571
"Census Tract 1042.03, Los Angeles County, California",Census Tract 1042.03,6037104203,104203,4848,378.0807,687.8709,145.2724,3582.765,7.8,14.19,3,73.9,2542.887438,245.8455628,9.66796875,1887.29927,206.7337687,10.95,36976.56105,1056.01844,642.5509028,413.4675375,60.85,39.15,148065.3008,593.4875
"Census Tract 1042.04, Los Angeles County, California",Census Tract 1042.04,6037104204,104204,2961,230.9193,420.1291,88.72762,2188.235,7.8,14.19,3,73.9,1553.112562,150.1544372,9.66796875,1152.70073,126.2662313,10.95,36976.56105,644.9815597,392.4490972,252.5324625,60.85,39.15,148065.3008,593.4875
"Census Tract 1043.10, Los Angeles County, California",Census Tract 1043.10,6037104310,104310,4981,76.46968,364.6315,27.81283,4475.211,1.54,7.32,0.56,89.85,2571.601222,164.6568499,6.40289204,1633.380017,188.720986,11.55,40381.32697,882.271815,618.1688482,264.1029668,70.07,29.93,141377.2271,884.6977075
"Census Tract 1043.20, Los Angeles County, California",Census Tract 1043.20,6037104320,104320,5695,83,558,63,4942,1.46,9.8,1.11,86.78,2896,115,3.970994475,2068,315,15.23,37082.55873,1205,658,547,54.61,45.39,135857.8704,524.5
"Census Tract 1044.01, Los Angeles County, California",Census Tract 1044.01,6037104401,104401,3208,109.0953,11.93131,14.64435,3055.075,3.4,0.37,0.46,95.23,1641.54854,65.91142445,4.015198017,1151.40705,112.0206492,9.73,38864.81806,608.4472853,364.3677666,244.0795188,59.88,40.12,139922.9634,689.8917185
"Census Tract 1044.03, Los Angeles County, California",Census Tract 1044.03,6037104403,104403,2774.209,119.0236,13.98844,17.11623,2608.462,4.29,0.5,0.62,94.03,1410.637083,68.25630049,4.838686103,1026.450541,86.25143626,8.4,39420.17179,536.2890817,318.7055751,217.5835066,59.43,40.57,139030.5455,711.3267363
"Census Tract 1044.04, Los Angeles County, California",Census Tract 1044.04,6037104404,104404,3243,112.4079,11.76356,14.53245,3086.714,3.47,0.36,0.45,95.18,1657.711371,67.80363306,4.090195328,1165.145096,111.8976305,9.6,38754.27506,615.5474599,366.5064818,249.0409781,59.54,40.46,139795.1662,690.04272
"Census Tract 1045, Los Angeles County, California",Census Tract 1045,6037104500,104500,3030,121.275,23.12977,26.88054,2843.086,4,0.76,0.89,93.83,1558.446462,67.51392614,4.332129964,1132.108521,104.3965339,9.22,42791.2504,588.2463379,378.8281411,209.4181968,64.4,35.6,140435.6992,753.828125
"Census Tract 1046.10, Los Angeles County, California",Census Tract 1046.10,6037104610,104610,3600,75,6,40,3453,2.08,0.17,1.11,95.92,1839,77,4.187058184,1397,166,11.88,36159.24016,753,352,401,46.75,53.25,133200.5617,633.9230769
"Census Tract 1046.20, Los Angeles County, California",Census Tract 1046.20,6037104620,104620,3417,91,6,11,3287,2.66,0.18,0.32,96.2,1774,22,1.240135287,1220,159,13.03,34334.06465,675,476,199,70.52,29.48,134357.6248,593.12
"Census Tract 1047.01, Los Angeles County, California",Census Tract 1047.01,6037104701,104701,4168,48,130,10,3965,1.15,3.12,0.24,95.13,1897,6,0.316288877,1167,222,19.02,20506.38385,851,196,655,23.03,76.97,131268.241,396.4655172
"Census Tract 1047.03, Los Angeles County, California",Census Tract 1047.03,6037104703,104703,2770,226.4836,406.5203,38.48451,2041.448,8.18,14.68,1.39,73.7,1447.813798,152.1686362,10.51023526,1129.321303,115.8958799,10.26,33613.48674,720.5892686,417.1366975,303.4525711,57.89,42.11,139348.9013,709.8942308
"Census Tract 1047.04, Los Angeles County, California",Census Tract 1047.04,6037104704,104704,3492,285.5164,512.4797,48.51549,2573.552,8.18,14.68,1.39,73.7,1825.186202,191.8313638,10.51023526,1423.678697,146.1041201,10.26,33613.48674,908.4107314,525.8633025,382.5474289,57.89,42.11,139348.9013,709.8942308
"Census Tract 1048.10, Los Angeles County, California",Census Tract 1048.10,6037104810,104810,5101,302,43,94,4610,5.92,0.84,1.84,90.37,2828,81,2.864214993,2078,140,6.74,41515.11582,1056,723,333,68.47,31.53,131382.351,939.9193548
"Census Tract 1048.21, Los Angeles County, California",Census Tract 1048.21,6037104821,104821,3334,188.075,32.78939,155.2856,2917.018,5.64,0.98,4.66,87.49,1722.370755,136.7255521,7.938218391,1143.916497,121.8775283,10.65,31167.26871,772.7159028,309.3338282,463.3820746,40.03,59.97,153019.6984,702.1201923
"Census Tract 1048.22, Los Angeles County, California",Census Tract 1048.22,6037104822,104822,2272.108,123.9281,21.77569,96.06056,2004.353,5.45,0.96,4.23,88.22,1173.201189,88.32727444,7.52874062,787.4813798,82.51470978,10.48,31781.84751,516.8568908,219.1613737,297.6955171,42.4,57.6,151483.3694,703.5206359
"Census Tract 1060.10, Los Angeles County, California",Census Tract 1060.10,6037106010,106010,2866.406,794.9292,234.8393,107.1976,1664.657,27.73,8.19,3.74,58.07,1735.306537,477.6608096,27.52601915,1414.732411,99.55798867,7.04,50685.64647,903.2198506,637.8008255,265.4190251,70.61,29.39,200168.28,856.7540567
"Census Tract 1060.20, Los Angeles County, California",Census Tract 1060.20,6037106020,106020,5060,1155.18,163.5345,177.4523,3411.607,22.83,3.23,3.51,67.42,2858.373732,576.7199587,20.17650639,2424.311501,136.568678,5.63,54906.52985,1333.501805,1014.261647,319.2401582,76.06,23.94,172881.5367,742.4038462
"Census Tract 1061.11, Los Angeles County, California",Census Tract 1061.11,6037106111,106111,3869,1429,176,208,1942,36.93,4.55,5.38,50.19,2425,831,34.26804124,1852,87,4.7,59345.60796,1171,1046,125,89.33,10.67,178440.5926,1114.671053
"Census Tract 1061.12, Los Angeles County, California",Census Tract 1061.12,6037106112,106112,4753,1205,164,76,3226,25.35,3.45,1.6,67.87,2738,476,17.38495252,2104,100,4.75,55178.06668,1179,975,204,82.7,17.3,156098.3344,1064.396552
