Geo_FIPS,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_INTPTLAT,Geo_INTPTLON,10P,10WNH,10BNH,10ANH,10L,10WNH_P,10BNH_P,10ANH_P,10L_P,10OHU,10OO,10RO,10OO_P,10RO_P
6037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",6,37,101110,34.2594737,-118.2929869,4731,2656,74,486,1324,56.14,1.56,10.27,27.99,1641,888,753,54.11,45.89
6037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",6,37,101122,34.2677213,-118.2901465,3664,2437,26,495,575,66.51,0.71,13.51,15.69,1325,1127,198,85.06,14.94
6037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",6,37,101210,34.2529724,-118.2907309,5990,2890,183,448,2219,48.25,3.06,7.48,37.05,2150,364,1786,16.93,83.07
6037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",6,37,101220,34.2516085,-118.2816322,3363,1662,36,272,1272,49.42,1.07,8.09,37.82,1246,480,766,38.52,61.48
6037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",6,37,101300,34.2487776,-118.2709988,4199,3190,41,317,503,75.97,0.98,7.55,11.98,1542,1318,224,85.47,14.53
6037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",6,37,101400,34.2428534,-118.2941635,3903,2649,45,337,721,67.87,1.15,8.63,18.47,1498,1070,428,71.43,28.57
6037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",6,37,102103,34.2250793,-118.354188,1740,1114,21,167,375,64.02,1.21,9.6,21.55,630,483,147,76.67,23.33
6037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",6,37,102104,34.2161866,-118.3454041,3648,2437,86,470,533,66.8,2.36,12.88,14.61,1279,1084,195,84.75,15.25
6037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",6,37,102105,34.2098714,-118.3492638,1731,413,15,139,1136,23.86,0.87,8.03,65.63,527,331,196,62.81,37.19
6037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",6,37,102107,34.2409055,-118.3395158,3851,2310,102,278,1039,59.98,2.65,7.22,26.98,1269,884,385,69.66,30.34
6037103101,Census Tract 1031.01,"Census Tract 1031.01, Los Angeles County, California",6,37,103101,34.2732407,-118.3078874,2670,1761,18,238,566,65.96,0.67,8.91,21.2,918,788,130,85.84,14.16
6037103102,Census Tract 1031.02,"Census Tract 1031.02, Los Angeles County, California",6,37,103102,34.2633843,-118.3073883,4751,2646,28,586,1351,55.69,0.59,12.33,28.44,1627,1191,436,73.2,26.8
6037103200,Census Tract 1032,"Census Tract 1032, Los Angeles County, California",6,37,103200,34.2733521,-118.3402287,6150,3462,260,452,1786,56.29,4.23,7.35,29.04,2182,1416,766,64.89,35.11
6037103300,Census Tract 1033,"Census Tract 1033, Los Angeles County, California",6,37,103300,34.2573787,-118.3554781,3819,2710,35,221,744,70.96,0.92,5.79,19.48,1322,1147,175,86.76,13.24
6037103400,Census Tract 1034,"Census Tract 1034, Los Angeles County, California",6,37,103400,34.2548355,-118.3139736,6143,3786,88,494,1540,61.63,1.43,8.04,25.07,2342,1510,832,64.47,35.53
6037104103,Census Tract 1041.03,"Census Tract 1041.03, Los Angeles County, California",6,37,104103,34.2820993,-118.3925764,4085,307,513,280,2918,7.52,12.56,6.85,71.43,817,688,129,84.21,15.79
6037104105,Census Tract 1041.05,"Census Tract 1041.05, Los Angeles County, California",6,37,104105,34.2761482,-118.4046862,5412,223,346,302,4472,4.12,6.39,5.58,82.63,1391,700,691,50.32,49.68
6037104108,Census Tract 1041.08,"Census Tract 1041.08, Los Angeles County, California",6,37,104108,34.2731497,-118.3985703,5256,253,583,183,4169,4.81,11.09,3.48,79.32,1291,532,759,41.21,58.79
6037104124,Census Tract 1041.24,"Census Tract 1041.24, Los Angeles County, California",6,37,104124,34.2902413,-118.373946,4175,1174,566,227,2122,28.12,13.56,5.44,50.83,1144,943,201,82.43,17.57
6037104201,Census Tract 1042.01,"Census Tract 1042.01, Los Angeles County, California",6,37,104201,34.2865005,-118.4160998,4780,50,387,6,4293,1.05,8.1,0.13,89.81,848,580,268,68.4,31.6
6037104203,Census Tract 1042.03,"Census Tract 1042.03, Los Angeles County, California",6,37,104203,34.2790581,-118.4115543,5210,67,319,63,4708,1.29,6.12,1.21,90.36,1085,520,565,47.93,52.07
6037104204,Census Tract 1042.04,"Census Tract 1042.04, Los Angeles County, California",6,37,104204,34.2912875,-118.3931176,3375,344,250,269,2480,10.19,7.41,7.97,73.48,723,464,259,64.18,35.82
6037104310,Census Tract 1043.10,"Census Tract 1043.10, Los Angeles County, California",6,37,104310,34.2763731,-118.4292815,4921,81,191,7,4624,1.65,3.88,0.14,93.96,886,601,285,67.83,32.17
6037104320,Census Tract 1043.20,"Census Tract 1043.20, Los Angeles County, California",6,37,104320,34.2731324,-118.4202492,5998,67,349,82,5464,1.12,5.82,1.37,91.1,1265,670,595,52.96,47.04
6037104401,Census Tract 1044.01,"Census Tract 1044.01, Los Angeles County, California",6,37,104401,34.2670388,-118.4327217,3357,71,2,19,3248,2.11,0.06,0.57,96.75,682,402,280,58.94,41.06
6037104403,Census Tract 1044.03,"Census Tract 1044.03, Los Angeles County, California",6,37,104403,34.2587738,-118.4344849,3282,58,16,31,3159,1.77,0.49,0.94,96.25,657,404,253,61.49,38.51
