FIPS,2000_tract,2000_total,2000_white,2000_black,2000_native,2000_asian,2000_other,2000_mixed,2000_latino,2000_pct_white,2000_pct_black,2000_pct_native,2000_pct_asian,PCT_SE_T015_007,2000_pct_other,2000_pct_mixed,2000_pct_latino,2000_over_25,2000_educ_less_hs,2000_educ_hs,2000_educ_some_college,2000_educ_bach,2000_educ_masters,2000_educ_professional,2000_educ_doct,2000_pct_educ_less_hs,2000_pct_educ_educ_hs,2000_pct_educ_some_college,2000_pct_educ_bach,2000_pct_educ_masters,2000_pct_educ_professional,2000_pct_educ_doct,2000_over_16,2000_employed,2000_unemployed,2000_pct_employed,2000_pct_unemployed,2000_med_income_1999,2000_occupied_units,2000_owner,2000_renter,2000_pct_owner,2000_pct_renter,2000_med_value_owner,2000_med_gross_rent
6037101110,101110,4500,2638,75,19,329,9,159,1267,58.62,1.67,0.42,7.31,0.09,0.2,3.53,28.16,2947,572,2375,1597,564,128,47,13,19.41,80.59,54.19,19.14,4.34,1.59,0.44,2217,2052,165,92.56,7.44,41577,1626,818,808,50.31,49.69,153600,701
6037101120,101120,3280,2429,57,4,194,8,102,483,74.05,1.74,0.12,5.91,0.09,0.24,3.11,14.73,2272,270,2002,1525,613,274,124,63,11.88,88.12,67.12,26.98,12.06,5.46,2.77,1618,1566,52,96.79,3.21,53481,1197,1025,172,85.63,14.37,239400,950
6037101210,101210,6066,2496,317,22,337,9,268,2616,41.15,5.23,0.36,5.56,0.02,0.15,4.42,43.13,3501,1264,2237,1403,566,125,80,30,36.1,63.9,40.07,16.17,3.57,2.29,0.86,2851,2468,383,86.57,13.43,31481,2111,287,1824,13.6,86.4,128400,614
6037101220,101220,3028,1568,54,16,162,14,118,1095,51.78,1.78,0.53,5.35,0.03,0.46,3.9,36.16,1924,755,1169,806,236,57,11,0,39.24,60.76,41.89,12.27,2.96,0.57,0,1424,1263,161,88.69,11.31,27585,1204,419,785,34.8,65.2,143500,638
6037101300,101300,3974,3126,18,16,259,5,162,386,78.66,0.45,0.4,6.52,0.05,0.13,4.08,9.71,2926,433,2493,1895,876,372,154,93,14.8,85.2,64.76,29.94,12.71,5.26,3.18,2036,1939,97,95.24,4.76,61471,1488,1271,217,85.42,14.58,226900,923
6037101400,101400,3760,2653,40,10,238,7,170,641,70.56,1.06,0.27,6.33,0.03,0.19,4.52,17.05,2594,462,2132,1596,800,261,129,17,17.81,82.19,61.53,30.84,10.06,4.97,0.66,1975,1825,150,92.41,7.59,49167,1396,1021,375,73.14,26.86,214100,796
6037102101,102101,3387,2120,68,15,181,14,73,914,62.59,2.01,0.44,5.34,0.06,0.41,2.16,26.99,2342,445,1897,1347,522,204,23,13,19,81,57.51,22.29,8.71,0.98,0.56,1557,1433,124,92.04,7.96,51859,1103,792,311,71.8,28.2,259500,695
6037102102,102102,6739,3630,132,26,673,10,227,2037,53.87,1.96,0.39,9.99,0.06,0.15,3.37,30.23,4599,734,3865,2876,1408,578,223,43,15.96,84.04,62.54,30.62,12.57,4.85,0.93,3461,3138,323,90.67,9.33,63958,2380,1900,480,79.83,20.17,195500,1075
6037103101,103101,2610,1806,22,15,216,6,87,456,69.2,0.84,0.57,8.28,0.08,0.23,3.33,17.47,1782,239,1543,1127,384,119,44,18,13.41,86.59,63.24,21.55,6.68,2.47,1.01,1318,1258,60,95.45,4.55,59861,921,794,127,86.21,13.79,203400,1163
6037103102,103102,4462,2698,22,38,371,10,143,1178,60.47,0.49,0.85,8.31,0.04,0.22,3.2,26.4,2912,474,2438,1634,497,97,33,12,16.28,83.72,56.11,17.07,3.33,1.13,0.41,2181,2064,117,94.64,5.36,48485,1570,1106,464,70.45,29.55,161200,740
6037103200,103200,5484,3483,332,16,364,14,198,1066,63.51,6.05,0.29,6.64,0.2,0.26,3.61,19.44,3769,597,3172,2158,1019,308,147,21,15.84,84.16,57.26,27.04,8.17,3.9,0.56,2668,2462,206,92.28,7.72,54423,1994,1267,727,63.54,36.46,206000,651
