fips,tract_name,Geo_LOGRECNO,geo_tract,Geo_AREALAND,Geo_AREAWATR,Geo_GCUNI,total_hu,Geo_INTPTLAT,Geo_INTPTLON,total_pop,nhw,nhb,nhamin,nha,latino,pct_nhw,pct_nhb,pct_nhamin,pct_nha,pct_latino,ohu,ohu_oo,ohu_ro,pct_oo,pct_ro
6037101110,Census Tract 1011.10,316967,101110,1142405,0,N,1734,+34.2594737,-118.2929869,4731,2656,74,14,486,1324,56.14,1.56,0.3,10.27,27.99,1641,888,753,54.11,45.89
6037101122,Census Tract 1011.22,316971,101122,2644043,0,Y,1369,+34.2677213,-118.2901465,3664,2437,26,4,495,575,66.51,0.71,0.11,13.51,15.69,1325,1127,198,85.06,14.94
6037101210,Census Tract 1012.10,316974,101210,650691,0,N,2317,+34.2529724,-118.2907309,5990,2890,183,6,448,2219,48.25,3.06,0.1,7.48,37.05,2150,364,1786,16.93,83.07
6037101220,Census Tract 1012.20,316977,101220,698967,0,N,1317,+34.2516085,-118.2816322,3363,1662,36,11,272,1272,49.42,1.07,0.33,8.09,37.82,1246,480,766,38.52,61.48
6037101300,Census Tract 1013,316980,101300,2580401,0,N,1582,+34.2487776,-118.2709988,4199,3190,41,5,317,503,75.97,0.98,0.12,7.55,11.98,1542,1318,224,85.47,14.53
6037101400,Census Tract 1014,316985,101400,6309194,0,N,1568,+34.2428534,-118.2941635,3903,2649,45,7,337,721,67.87,1.15,0.18,8.63,18.47,1498,1070,428,71.43,28.57
6037102103,Census Tract 1021.03,316989,102103,1186472,0,Y,680,+34.2250793,-118.354188,1740,1114,21,3,167,375,64.02,1.21,0.17,9.6,21.55,630,483,147,76.67,23.33
6037102104,Census Tract 1021.04,316991,102104,1660052,0,Y,1326,+34.2161866,-118.3454041,3648,2437,86,3,470,533,66.8,2.36,0.08,12.88,14.61,1279,1084,195,84.75,15.25
6037102105,Census Tract 1021.05,316994,102105,492222,0,Y,560,+34.2098714,-118.3492638,1731,413,15,2,139,1136,23.86,0.87,0.12,8.03,65.63,527,331,196,62.81,37.19
6037102107,Census Tract 1021.07,316997,102107,12908567,13753,Y,1326,+34.2409055,-118.3395158,3851,2310,102,15,278,1039,59.98,2.65,0.39,7.22,26.98,1269,884,385,69.66,30.34
6037103101,Census Tract 1031.01,317000,103101,2029811,0,N,948,+34.2732407,-118.3078874,2670,1761,18,8,238,566,65.96,0.67,0.3,8.91,21.2,918,788,130,85.84,14.16
6037103102,Census Tract 1031.02,317003,103102,1241030,0,N,1708,+34.2633843,-118.3073883,4751,2646,28,14,586,1351,55.69,0.59,0.29,12.33,28.44,1627,1191,436,73.2,26.8
6037103200,Census Tract 1032,317009,103200,7416709,0,Y,2285,+34.2733521,-118.3402287,6150,3462,260,23,452,1786,56.29,4.23,0.37,7.35,29.04,2182,1416,766,64.89,35.11
6037103300,Census Tract 1033,317013,103300,6142030,0,N,1400,+34.2573787,-118.3554781,3819,2710,35,11,221,744,70.96,0.92,0.29,5.79,19.48,1322,1147,175,86.76,13.24
6037103400,Census Tract 1034,317016,103400,2500750,0,N,2484,+34.2548355,-118.3139736,6143,3786,88,22,494,1540,61.63,1.43,0.36,8.04,25.07,2342,1510,832,64.47,35.53
6037104103,Census Tract 1041.03,317022,104103,949117,0,N,842,+34.2820993,-118.3925764,4085,307,513,3,280,2918,7.52,12.56,0.07,6.85,71.43,817,688,129,84.21,15.79
6037104105,Census Tract 1041.05,317025,104105,584676,0,N,1456,+34.2761482,-118.4046862,5412,223,346,4,302,4472,4.12,6.39,0.07,5.58,82.63,1391,700,691,50.32,49.68
6037104108,Census Tract 1041.08,317028,104108,1096680,0,Y,1346,+34.2731497,-118.3985703,5256,253,583,7,183,4169,4.81,11.09,0.13,3.48,79.32,1291,532,759,41.21,58.79
6037104124,Census Tract 1041.24,317032,104124,4480071,977,Y,1215,+34.2902413,-118.373946,4175,1174,566,15,227,2122,28.12,13.56,0.36,5.44,50.83,1144,943,201,82.43,17.57
6037104201,Census Tract 1042.01,317036,104201,1090105,0,N,885,+34.2865005,-118.4160998,4780,50,387,5,6,4293,1.05,8.1,0.1,0.13,89.81,848,580,268,68.4,31.6
6037104203,Census Tract 1042.03,317040,104203,707955,0,Y,1158,+34.2790581,-118.4115543,5210,67,319,9,63,4708,1.29,6.12,0.17,1.21,90.36,1085,520,565,47.93,52.07
6037104204,Census Tract 1042.04,317043,104204,2663034,3735,Y,753,+34.2912875,-118.3931176,3375,344,250,2,269,2480,10.19,7.41,0.06,7.97,73.48,723,464,259,64.18,35.82
6037104310,Census Tract 1043.10,317046,104310,1508623,0,Y,931,+34.2763731,-118.4292815,4921,81,191,3,7,4624,1.65,3.88,0.06,0.14,93.96,886,601,285,67.83,32.17
6037104320,Census Tract 1043.20,317050,104320,1212162,0,N,1359,+34.2731324,-118.4202492,5998,67,349,11,82,5464,1.12,5.82,0.18,1.37,91.1,1265,670,595,52.96,47.04
6037104401,Census Tract 1044.01,317055,104401,681115,0,Y,725,+34.2670388,-118.4327217,3357,71,2,12,19,3248,2.11,0.06,0.36,0.57,96.75,682,402,280,58.94,41.06
6037104403,Census Tract 1044.03,317058,104403,696768,0,Y,717,+34.2587738,-118.4344849,3282,58,16,4,31,3159,1.77,0.49,0.12,0.94,96.25,657,404,253,61.49,38.51
6037104404,Census Tract 1044.04,317061,104404,539620,0,Y,694,+34.2639207,-118.4286916,3236,57,32,6,15,3112,1.76,0.99,0.19,0.46,96.17,662,298,364,45.02,54.98
6037104500,Census Tract 1045,317064,104500,531003,0,N,748,+34.2555108,-118.4257479,3293,107,20,1,24,3137,3.25,0.61,0.03,0.73,95.26,685,442,243,64.53,35.47
6037104610,Census Tract 1046.10,317067,104610,592138,0,N,785,+34.2604355,-118.4189927,3672,50,13,6,12,3574,1.36,0.35,0.16,0.33,97.33,729,332,397,45.54,54.46
6037104620,Census Tract 1046.20,317070,104620,531171,0,N,796,+34.2579043,-118.4224647,3539,72,9,18,12,3420,2.03,0.25,0.51,0.34,96.64,722,461,261,63.85,36.15
6037104701,Census Tract 1047.01,317073,104701,550502,0,N,931,+34.2684745,-118.415214,4208,36,120,3,11,4018,0.86,2.85,0.07,0.26,95.48,900,222,678,24.67,75.33
6037104703,Census Tract 1047.03,317077,104703,1169842,0,Y,584,+34.2552325,-118.4005905,2397,69,43,1,6,2264,2.88,1.79,0.04,0.25,94.45,557,191,366,34.29,65.71
6037104704,Census Tract 1047.04,317080,104704,1662658,0,Y,1159,+34.2625316,-118.4088637,4219,233,554,10,142,3238,5.52,13.13,0.24,3.37,76.75,1117,673,444,60.25,39.75
6037104810,Census Tract 1048.10,317082,104810,1123357,0,N,1132,+34.2502996,-118.4111792,5328,158,28,3,105,4996,2.97,0.53,0.06,1.97,93.77,1028,707,321,68.77,31.23
6037104821,Census Tract 1048.21,317086,104821,531802,0,Y,834,+34.2465705,-118.4162955,3514,118,40,7,62,3269,3.36,1.14,0.2,1.76,93.03,760,302,458,39.74,60.26
6037104822,Census Tract 1048.22,317089,104822,608706,0,Y,614,+34.2458338,-118.4209236,2277,75,24,1,162,1998,3.29,1.05,0.04,7.11,87.75,562,188,374,33.45,66.55
6037106010,Census Tract 1060.10,317091,106010,2520998,0,N,962,+34.3253362,-118.4434108,3152,621,165,9,180,2115,19.7,5.23,0.29,5.71,67.1,930,717,213,77.1,22.9
6037106020,Census Tract 1060.20,317093,106020,2010937,7144,N,1433,+34.3230145,-118.429739,5557,903,127,13,187,4241,16.25,2.29,0.23,3.37,76.32,1385,1156,229,83.47,16.53
6037106111,Census Tract 1061.11,317096,106111,3814530,12394,Y,1345,+34.3213672,-118.407505,4334,1194,198,13,309,2552,27.55,4.57,0.3,7.13,58.88,1313,1186,127,90.33,9.67
6037106112,Census Tract 1061.12,317099,106112,3227646,0,N,1501,+34.3054778,-118.4124465,5969,1007,215,16,540,4092,16.87,3.6,0.27,9.05,68.55,1462,1216,246,83.17,16.83
6037106113,Census Tract 1061.13,317102,106113,1438163,0,N,884,+34.3061792,-118.4222365,3493,550,75,19,155,2670,15.75,2.15,0.54,4.44,76.44,850,700,150,82.35,17.65
6037106114,Census Tract 1061.14,317105,106114,1011236,3298,N,1622,+34.3023558,-118.4268073,5880,439,213,21,133,4995,7.47,3.62,0.36,2.26,84.95,1500,680,820,45.33,54.67
6037106403,Census Tract 1064.03,317108,106403,1105659,0,N,863,+34.3060186,-118.4412741,3825,296,44,4,51,3401,7.74,1.15,0.1,1.33,88.92,817,635,182,77.72,22.28
6037106405,Census Tract 1064.05,317112,106405,1170157,0,Y,1174,+34.3146809,-118.4482929,3966,400,234,12,128,3165,10.09,5.9,0.3,3.23,79.8,1118,677,441,60.55,39.45
6037106406,Census Tract 1064.06,317116,106406,2084300,923,Y,1670,+34.3228508,-118.4590006,4962,934,130,29,301,3514,18.82,2.62,0.58,6.07,70.82,1359,1107,252,81.46,18.54
6037106407,Census Tract 1064.07,317120,106407,232127,0,Y,872,+34.3105742,-118.4365572,2933,410,189,4,67,2235,13.98,6.44,0.14,2.28,76.2,822,222,600,27.01,72.99
