FIPS,name,tract,GEOID,2019_total_pop,2019_white,2019_black,2019_indian,2019_asian,2019_other,2019_mixed,2019_latino,2019_pct_white,2019_pct_black,2019_pct_indian,2019_pct_asian,2019_pct_other,2019_pct_mixed,2019_pct_latino,2019_over_25,2019_educ_less_hs,2019_educ_hs,2019_educ_some_college,2019_educ_bach,2019_educ_masters,2019_educ_professional,2019_educ_doct,2019_pct_educ_less_hs,2019_educ_pct_educ_hs,2019_educ_pct_some_college,2019_educ_pct_bach,2019_educ_pct_masters,2019_educ_pct_professional,2019_educ_pct_doct,2019_labor,2019_employed,2019_unemployed,2019_pct_employed,2019_pct_unemployed,2019_med_income,2019_occupied_units,2019_owners,2019_renters,2019_pct_owners,2019_pct_renters,2019_med_value,2019_med_gross_rent
6037101110,Census Tract 1011.10,101110,14000US06037101110,4283,2616,19,3,331,8,115,1188,61.08,0.44,0.07,7.73,0.19,2.69,27.74,3118,473,2645,1895,729,243,123,60,15.17,84.83,60.78,23.38,7.79,3.94,1.92,2226,2064,162,92.72,7.28,63534,1575,843,732,53.52,46.48,474700,1737
6037101122,Census Tract 1011.22,101122,14000US06037101122,3405,2882,74,15,220,0,67,147,84.64,2.17,0.44,6.46,0,1.97,4.32,2687,164,2523,1796,873,362,105,105,6.1,93.9,66.84,32.49,13.47,3.91,3.91,1996,1888,108,94.59,5.41,90389,1312,1072,240,81.71,18.29,622400,2198
6037101210,Census Tract 1012.10,101210,14000US06037101210,6347,2986,198,0,486,47,14,2616,47.05,3.12,0,7.66,0.74,0.22,41.22,4216,677,3539,2543,979,285,78,44,16.06,83.94,60.32,23.22,6.76,1.85,1.04,3417,3241,176,94.85,5.15,44083,2297,401,1896,17.46,82.54,435400,1423
6037101220,Census Tract 1012.20,101220,14000US06037101220,3702,1812,87,0,341,0,98,1364,48.95,2.35,0,9.21,0,2.65,36.84,2646,527,2119,1395,621,217,47,27,19.92,80.08,52.72,23.47,8.2,1.78,1.02,1834,1648,186,89.86,10.14,43713,1357,535,822,39.43,60.57,471000,1197
6037101300,Census Tract 1013,101300,14000US06037101300,3884,3126,205,0,194,0,62,297,80.48,5.28,0,4.99,0,1.6,7.65,3263,334,2929,2077,1019,500,158,49,10.24,89.76,63.65,31.23,15.32,4.84,1.5,1890,1809,81,95.71,4.29,81776,1445,1255,190,86.85,13.15,609700,2371
6037101400,Census Tract 1014,101400,14000US06037101400,3458,2271,9,13,409,28,137,591,65.67,0.26,0.38,11.83,0.81,3.96,17.09,2645,238,2407,1820,821,269,111,15,9,91,68.81,31.04,10.17,4.2,0.57,1764,1657,107,93.93,6.07,75139,1355,939,416,69.3,30.7,570700,1335
6037102103,Census Tract 1021.03,102103,14000US06037102103,1763,1106,25,0,224,11,42,355,62.73,1.42,0,12.71,0.62,2.38,20.14,1378,72,1306,915,537,127,60,60,5.22,94.78,66.4,38.97,9.22,4.35,4.35,927,847,80,91.37,8.63,76833,692,461,231,66.62,33.38,616100,2216
6037102104,Census Tract 1021.04,102104,14000US06037102104,3721,2568,73,0,351,0,209,512,69.01,1.96,0,9.43,0,5.62,13.76,2752,280,2472,1932,1034,359,56,17,10.17,89.83,70.2,37.57,13.05,2.03,0.62,1833,1651,182,90.07,9.93,80789,1230,927,303,75.37,24.63,604400,2547
6037102105,Census Tract 1021.05,102105,14000US06037102105,1905,427,14,24,124,0,29,1283,22.41,0.73,1.26,6.51,0,1.52,67.35,1373,278,1095,750,353,59,18,6,20.25,79.75,54.62,25.71,4.3,1.31,0.44,1161,1094,67,94.23,5.77,57614,559,302,257,54.03,45.97,501800,1590
6037102107,Census Tract 1021.07,102107,14000US06037102107,4349,2605,69,6,398,0,76,1195,59.9,1.59,0.14,9.15,0,1.75,27.48,3280,339,2941,2240,1258,355,86,21,10.34,89.66,68.29,38.35,10.82,2.62,0.64,2193,2063,130,94.07,5.93,109375,1345,957,388,71.15,28.85,693600,1259
