Geo_QName,Geo_NAME,FIPS,tract,P90,WNH90,BNH90,ANH90,L90,WNH90_P,BNH90_P,ANH90_P,L90_P,90_O25,90COL_P,90COL,90_O16,90U,90U_P,90INC,90OHU,90OO,90RO,90OO_P,90RO_P,90VAL,90RENT
"Census Tract 1011.10, Los Angeles County, California",Census Tract 1011.10,6037101110,101110,611.9523725,483.9494627,5.333454574,28.88270785,89.27382426,79.08,0.87,4.72,14.59,411.7426931,26.76365086,110.1973768,341.2590396,12.88234413,3.77,47843.6125,219.8203816,147.8597714,71.96061018,67.26,32.74,220427,643.0606061
"Census Tract 1011.22, Los Angeles County, California",Census Tract 1011.22,6037101122,101122,6640.576659,5252.310243,57.83373963,313.4385025,968.0821425,79.09,0.87,4.72,14.58,4468.629959,26.78568273,1196.953043,3703.315236,139.8578395,3.78,47846.25665,2385.521096,1605.436126,780.0849702,67.3,32.7,220511,643.2290578
"Census Tract 1012.10, Los Angeles County, California",Census Tract 1012.10,6037101210,101210,3892.256805,2462.279723,56.8106345,197.6233183,1147.866153,63.26,1.46,5.08,29.49,2302.530161,17.03922396,392.3332707,2218.528111,182.085367,8.21,28945.5,1494.071131,309.7879044,1184.283227,20.73,79.27,185826,617.8598131
"Census Tract 1012.20, Los Angeles County, California",Census Tract 1012.20,6037101220,101220,4123.742926,2608.720107,60.18936157,209.376668,1216.133767,63.26,1.46,5.08,29.49,2439.46968,17.03922396,415.6667021,2350.471735,192.9146204,8.21,28945.5,1582.928765,328.2120742,1254.716691,20.73,79.27,185826,617.8598131
"Census Tract 1013, Los Angeles County, California",Census Tract 1013,6037101300,101300,3850.664672,3289.917221,19.88466136,187.9100498,344.0046415,85.44,0.52,4.88,8.93,2792.800688,38.23424706,1067.806315,2198.249313,102.406006,4.66,49656,1431.695618,1236.825936,194.8696813,86.39,13.61,253088,927.8571429
"Census Tract 1014, Los Angeles County, California",Census Tract 1014,6037101400,101400,3509.000007,2887.000006,24.00000005,169.0000003,400.0000008,82.27,0.68,4.82,11.4,2411.000005,42.18166736,1017.000002,1978.000004,66.00000014,3.34,45124.95,1330.000003,993.0000021,337.0000007,74.66,25.34,270471,691.3965517
"Census Tract 1021.03, Los Angeles County, California",Census Tract 1021.03,6037102103,102103,1629.056918,987.3036478,29.42267936,141.4297424,460.6599786,60.61,1.81,8.68,28.28,1117.724022,29.34074929,327.948603,921.0952662,65.76605997,7.14,48774.90798,576.4389949,457.8960072,118.5429877,79.44,20.56,214997,818.9218223
"Census Tract 1021.04, Los Angeles County, California",Census Tract 1021.04,6037102104,102104,2829.065099,1785.532531,43.84429707,258.7118186,723.4382419,63.11,1.55,9.14,25.57,1981.04693,30.76752712,609.5191515,1627.617802,115.7484702,7.11,50597.36086,1023.405553,835.7514687,187.6540847,81.66,18.34,215016,873.6579198
"Census Tract 1021.05, Los Angeles County, California",Census Tract 1021.05,6037102105,102105,1769.581181,1116.290448,27.43946657,161.7726535,453.1083236,63.08,1.55,9.14,25.61,1238.890499,30.75499561,381.0207187,1017.947385,72.39959202,7.11,50581.00308,640.0074063,522.5161637,117.4912426,81.64,18.36,215004,873.1781884
"Census Tract 1021.07, Los Angeles County, California",Census Tract 1021.07,6037102107,102107,3698.704641,2278.711613,194.3942723,158.0243247,1038.345489,61.61,5.26,4.27,28.07,2356.246587,20.83374096,490.8943104,1809.185837,112.9583767,6.24,41970.42622,1185.683584,816.077757,369.6058269,68.83,31.17,273735,562.571014
"Census Tract 1031.01, Los Angeles County, California",Census Tract 1031.01,6037103101,103101,2268.648679,1830.279136,9.492253889,163.0941805,258.8796515,80.68,0.42,7.19,11.41,1475.614014,30,442.6842041,1263.332699,48.32420162,3.83,53069.1113,734.3552781,637.7068749,96.64840323,86.84,13.16,213944,1001
"Census Tract 1031.02, Los Angeles County, California",Census Tract 1031.02,6037103102,103102,4188.999981,3208.999986,4.999999977,217.999999,729.9999967,76.61,0.12,5.2,17.43,2778.999987,17.95609932,498.9999977,2192.99999,110.9999995,5.06,38437.125,1586.999993,1089.999995,496.9999978,68.68,31.32,182841,781.4105505
"Census Tract 1032, Los Angeles County, California",Census Tract 1032,6037103200,103200,5615.392194,4243.104849,292.2783612,263.8179522,772.2700497,75.56,5.2,4.7,13.75,3920.041607,22.30436949,874.3405643,3110.924288,219.6455097,7.06,42623.56497,2068.635246,1386.429029,682.2062164,67.02,32.98,234685,609.7914932
"Census Tract 1033, Los Angeles County, California",Census Tract 1033,6037103300,103300,3406.488907,2814.730502,21.41266201,106.9283861,434.4778112,82.63,0.63,3.14,12.75,2407.226722,30.68328137,738.6161483,1933.991582,44.74505882,2.31,61780.94332,1216.278682,1030.420081,185.8586012,84.72,15.28,339818,877.3185644
"Census Tract 1034, Los Angeles County, California",Census Tract 1034,6037103400,103400,5784.061877,4592.194582,77.89982327,247.3319389,812.1056575,79.39,1.35,4.28,14.04,3941.731057,22.2826087,878.3205073,3215.315205,122.6922216,3.82,39960.84733,2293.176047,1496.650354,796.5256929,65.27,34.73,206911,623.2327586
"Census Tract 1041.03, Los Angeles County, California",Census Tract 1041.03,6037104103,104103,2649.378879,610.2148264,713.6877466,155.7995301,1149.218251,23.03,26.94,5.88,43.38,1515.50452,19.31464174,292.7142687,1292.42792,80.26036401,6.21,45954.67416,631.85365,547.6589544,84.19469558,86.67,13.33,162514,1001
